%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.attitude,field.utm_easting,field.utm_northing,field.quality
1582906589644045719,4604,1582906589643469095,,42.3388099517,-71.0845852933,4.198,328274.848927,4689499.5163,4
1582906589851322701,4605,1582906589850704908,,42.338808075,-71.0845872933,4.206,328274.679054,4689499.31195,4
1582906590043993065,4606,1582906590043289899,,42.338806385,-71.0845893317,4.217,328274.506532,4689499.1284,4
1582906590249503094,4607,1582906590248966932,,42.338804685,-71.0845913633,4.194,328274.334531,4689498.94373,4
1582906590446602375,4608,1582906590445913076,,42.33880297,-71.0845934517,4.221,328274.157821,4689498.75751,4
1582906590655777353,4609,1582906590655021905,,42.3388013433,-71.08459576,4.227,328273.963228,4689498.58155,4
1582906590851726911,4610,1582906590851035118,,42.3387995317,-71.084597685,4.204,328273.799711,4689498.38426,4
1582906591046180954,4611,1582906591045169115,,42.338797895,-71.0845997217,4.242,328273.627471,4689498.20664,4
1582906591254318909,4612,1582906591253817081,,42.33879636,-71.0846019217,4.237,328273.442052,4689498.04063,4
1582906591450053067,4613,1582906591449501037,,42.3387945933,-71.0846042633,4.195,328273.244331,4689497.84919,4
1582906591662091915,4614,1582906591661448955,,42.3387927833,-71.0846067083,4.237,328273.03798,4689497.65314,4
1582906591855998715,4615,1582906591855604887,,42.3387909567,-71.084608745,4.18,328272.865222,4689497.45441,4
1582906592053557414,4616,1582906592053056955,,42.3387889483,-71.08461077,4.208,328272.692932,4689497.23549,4
1582906592245624259,4617,1582906592244781970,,42.3387872533,-71.0846130633,4.2,328272.499388,4689497.05191,4
1582906592450305471,4618,1582906592449929952,,42.3387855533,-71.0846153633,4.185,328272.305281,4689496.86778,4
1582906592636888848,4619,1582906592636487960,,42.3387835733,-71.0846175333,4.183,328272.121122,4689496.6523,4
1582906592857183384,4620,1582906592856501102,,42.3387818533,-71.0846193083,4.198,328271.970212,4689496.46489,4
1582906593042745770,4621,1582906593042093992,,42.3387799383,-71.0846211867,4.166,328271.810258,4689496.25604,4
1582906593274868304,4622,1582906593274363040,,42.3387782567,-71.0846233367,4.218,328271.628558,4689496.07364,4
1582906593447807982,4623,1582906593446723937,,42.3387766733,-71.0846255783,4.192,328271.439575,4689495.90235,4
1582906593650196678,4624,1582906593649597883,,42.3387749183,-71.084627855,4.193,328271.247241,4689495.71207,4
1582906593855862575,4625,1582906593854784965,,42.33877332,-71.0846299583,4.227,328271.069613,4689495.53884,4
1582906594052337226,4626,1582906594051168918,,42.33877152,-71.08463186,4.171,328270.90805,4689495.3428,4
1582906594265229756,4627,1582906594264662027,,42.3387697233,-71.0846337817,4.197,328270.744848,4689495.14718,4
1582906594450432275,4628,1582906594450018882,,42.3387680017,-71.0846357833,4.216,328270.57526,4689494.96004,4
1582906594654788661,4629,1582906594654289007,,42.3387662167,-71.08463784,4.167,328270.400968,4689494.76599,4
1582906594852982758,4630,1582906594852251052,,42.3387644683,-71.084640155,4.187,328270.205494,4689494.57652,4
